A,B,C,D
1.7225942554692135,0.3691538441425374,77,cherry
-0.15051561834330449,0.5700437238999865,22,apple
0.4991947273255669,0.7808865980723124,56,cherry
0.2036126422145645,0.49818928632937787,63,banana
-0.4317228558066673,0.45448885068543154,8,apple
-1.2378455969649447,0.009195200869935749,10,banana
-1.1464504451915771,0.6874055650482686,12,banana
-0.027665317179851545,0.160293589153658,74,banana
-0.045135781124574705,0.9386620255112008,38,cherry
-1.1793240973676906,0.6238180036388112,11,cherry
