A,B,C,D
-0.47605858504812315,0.0899379058737444,49,apple
-0.9708789138515836,0.5675020506862759,60,banana
-0.5837726573937705,0.038655231000078505,81,banana
-0.7921536362528794,0.116489871979923,26,banana
0.7189131668413964,0.12425242318540453,11,banana
-1.5619424830192192,0.7284206139239006,66,cherry
0.11313963628035012,0.9457909886267467,57,cherry
-1.8411250493837292,0.9078509489166741,92,cherry
1.1866242669875142,0.4344411773934892,14,banana
0.060785153965857985,0.010149120495193675,27,cherry
